clean_text,category,location,status,date
usb 64gb,usb,ab3,lost,2025-04-17 13:40:00
earbuds 10,earbuds,,lost,2026-01-30 11:58:00
key,keys,,found,2026-02-10 09:31:00
brown watch,watch,,found,2025-04-24 17:45:00
wallet beige,wallet,ab3,lost,2025-07-11 03:01:00
calculator,calculator,block 3,lost,2025-11-27 10:25:00
phone oppo,phone,,lost,2025-05-22 14:42:00
glass,glasses,,lost,2026-03-10 10:24:00
white earbuds,earbuds,,lost,2025-05-20 10:27:00
atm,id_card,library,lost,2025-09-30 20:05:00
watch,watch,washroom,found,2026-02-03 13:58:00
black notebook,notebook,ab2,lost,2025-03-20 21:10:00
usb,usb,block 2,lost,2025-05-26 19:12:00
umbrella,umbrella,,lost,2026-02-03 18:37:00
mobile 11,phone,block 3,unknown,2025-03-12 15:53:00
card,id_card,,found,
glasses,glasses,,lost,2025-05-19 16:02:00
watch,watch,washroom,lost,2025-04-28 23:24:00
wallet,wallet,ab2,lost,2025-08-19 22:11:00
mobile,phone,ab2,found,2025-05-22 18:49:00
airpods pro gray 11 12,earbuds,library,lost,2026-03-10 11:18:00
earbuds black ronin,earbuds,ab3,lost,2025-09-18 10:20:00
dell 11,laptop,block 1,lost,2025-03-08 19:11:00
black bag,bag,,lost,2026-04-07 17:46:00
airpods,earbuds,library,found,2025-04-17 20:21:00
card,id_card,,lost,2025-12-11 14:18:00
glasses brown,glasses,ground,lost,2025-07-08 15:38:00
calculator,calculator,library,lost,2025-08-13 15:05:00
beg blue,bag,,unknown,2026-04-23 10:42:00
hp,laptop,library,lost,2025-03-27 08:58:00
watch silver,watch,washroom,lost,2025-12-05 08:21:00
bottle,bottle,,lost,2025-11-28 20:30:00
phone iphone 15 black,phone,,lost,2025-09-18 14:36:00
id,id_card,,lost,2025-02-27 11:44:00
hp,laptop,ground,lost,2025-05-22 10:36:00
black earbuds,earbuds,,found,2025-04-23 18:44:00
black airbuds airpods,earbuds,block 1,lost,2025-10-31 19:34:00
atm,id_card,,lost,2025-12-10 13:55:00
keys,keys,,found,2025-09-17 23:33:00
bag black,bag,library,lost,2026-02-24 19:25:00
hp,laptop,library,lost,2026-01-20 22:11:00
earbuds white 10,earbuds,,lost,2025-11-21 12:18:00
mobile oppo,phone,library,lost,2025-09-25 15:46:00
umbrella,umbrella,,lost,2025-02-24 22:54:00
earbuds white,earbuds,,found,2025-04-09 17:55:00
calculator,calculator,,lost,2025-08-19 14:01:00
hp 11,laptop,,lost,2025-11-17 15:21:00
mobile,phone,ground,lost,2025-02-27 14:56:00
iphone 11,phone,library,found,2025-03-19 14:04:00
mobile,phone,library,unknown,2025-05-09 18:04:00
wallet,wallet,,lost,2025-02-23 20:27:00
hp probook,laptop,library,lost,2025-03-06 21:15:00
charger,charger,library,lost,2025-03-20 12:40:00
card,id_card,,lost,2025-04-08 08:52:00
glasses white,glasses,block 2,lost,2025-08-15 01:10:00
wallet light purple,wallet,,lost,2026-03-10 20:32:00
bottle,bottle,library,lost,2025-03-11 11:22:00
mobile,phone,,lost,2025-02-28 10:27:00
id,id_card,ground,lost,2025-11-15 13:42:00
card,id_card,block 2,lost,2025-09-17 18:10:00
hp,laptop,library,lost,2025-04-18 00:28:00
mobile realme,phone,library,lost,2025-08-20 18:39:00
mobile,phone,library,lost,2025-04-18 19:18:00
airbuds ronin,earbuds,,found,2025-09-18 16:32:00
white umbrella,umbrella,,lost,2025-05-26 12:23:00
dell,laptop,block 5,lost,2025-03-05 14:53:00
dell,laptop,library,lost,2025-12-15 20:57:00
white notebook,notebook,ab2,lost,2025-06-04 20:21:00
phone infinix 13,phone,ground,lost,2025-02-04 16:33:00
charger,charger,,lost,2025-09-09 15:15:00
black calculator,calculator,block 2,lost,2025-03-21 21:50:00
watch,watch,,found,2025-08-13 16:11:00
bag,bag,library,unknown,2026-02-06 17:54:00
phone vivo blue,phone,library,lost,2025-10-09 16:19:00
white bag,bag,library,lost,2025-09-23 06:08:00
airpods,earbuds,,lost,2025-02-28 22:29:00
watch,watch,ab5,found,2025-10-02 17:13:00
key,keys,,lost,2025-08-21 13:25:00
umbrella,umbrella,,found,2024-12-20 15:48:00
black watch,watch,block 2,lost,2025-04-18 14:52:00
black bottle,bottle,library,lost,2026-04-20 23:18:00
wallet dark brown,wallet,,lost,2025-03-26 20:51:00
bottle,bottle,library,lost,2025-10-14 19:43:00
hp,laptop,library,lost,2025-04-10 17:43:00
usb,usb,ground,found,
airpods white,earbuds,,lost,2025-10-04 16:13:00
umbrella,umbrella,,found,2025-03-03 22:34:00
shopper,bag,,unknown,2025-03-20 12:39:00
bottle,bottle,,unknown,2026-04-28 21:50:00
pink wallet,wallet,,lost,2025-11-05 16:24:00
phone,phone,,unknown,2025-08-19 14:34:00
watch,watch,block 1,found,2025-01-30 01:47:00
earphone ronin 12,earbuds,library,lost,2024-12-28 17:23:00
wallet,wallet,,found,2025-01-08 16:24:00
dell,laptop,library,lost,2025-01-06 20:58:00
atm,id_card,,lost,2025-09-29 01:34:00
mobile,phone,library,found,2025-02-14 13:00:00
bottle,bottle,,unknown,
black wallet,wallet,library,lost,2026-03-02 14:44:00
bottle,bottle,library,found,2025-11-13 15:16:00
keychain,keys,library,lost,2025-02-05 17:42:00
wallet 12,wallet,,lost,2025-02-13 11:05:00
mobile 15,phone,library,lost,2025-10-11 16:30:00
wallet,wallet,,lost,
dell,laptop,,unknown,2026-02-24 16:38:00
grey bag,bag,,lost,2025-09-30 14:17:00
pink wallet,wallet,library,lost,2025-10-31 21:15:00
watch plus green,watch,,lost,2025-02-17 15:14:00
id,id_card,,lost,2025-01-30 17:43:00
drive,usb,,unknown,2025-01-23 11:08:00
hp,laptop,library,unknown,2025-04-18 11:20:00
backpack,bag,,lost,2026-04-20 11:02:00
wallet,wallet,,lost,2025-01-30 10:14:00
earphone ronin,earbuds,,found,2025-01-12 22:51:00
airpods pro,earbuds,,lost,2025-01-06 14:53:00
mini notebook,notebook,block 3,lost,2025-11-07 19:02:00
card,id_card,,lost,2025-02-28 19:04:00
mobile,phone,,found,2025-05-06 08:48:00
id,id_card,,lost,2025-11-26 10:59:00
id,id_card,,lost,2025-01-21 10:45:00
samsung 12,phone,,lost,2025-03-17 19:51:00
bag black red,bag,,lost,2025-05-08 09:06:00
umbrella,umbrella,,lost,2025-03-13 20:04:00
silver bag,bag,,found,2026-04-27 12:54:00
calculator,calculator,,lost,2024-12-14 00:14:00
apple watch golden,watch,,lost,2025-02-17 19:02:00
atm,id_card,,unknown,2024-12-22 15:06:00
wallet black,wallet,ab2,lost,2025-08-21 12:49:00
wallet,wallet,ground,found,2025-02-23 02:29:00
cnic,id_card,,lost,2025-03-02 15:51:00
wallet black 12,wallet,ab3,lost,2025-01-22 12:38:00
keychain,keys,,lost,2025-10-07 15:50:00
charger,charger,,unknown,
audionic earbuds black,earbuds,ab2,found,2025-09-30 17:17:00
airpods black,earbuds,,lost,2025-04-16 13:24:00
notebook,notebook,,unknown,2025-09-10 22:25:00
glasses,glasses,,lost,2026-02-25 13:25:00
mobile,phone,block 2,lost,2025-09-30 10:38:00
dell bag,bag,library,unknown,2024-12-13 22:33:00
red bag lenovo thinkpad,bag,library,lost,2026-04-27 19:50:00
umbrella,umbrella,,found,2025-01-06 15:33:00
notebook,notebook,ground,found,2025-02-11 22:27:00
black usb 32gb,usb,library,lost,2025-01-28 15:28:00
card 12,id_card,library,lost,2024-12-31 10:40:00
hp,laptop,library,unknown,2025-02-24 15:22:00
bag,bag,library,unknown,2026-04-06 22:48:00
lenovo 14,laptop,library,lost,2025-02-15 17:26:00
realme,phone,library,unknown,2024-12-30 00:30:00
blue umbrella,umbrella,ground,unknown,2025-02-12 16:15:00
black bottle,bottle,ground,lost,2025-01-03 15:58:00
glasses,glasses,,found,2025-02-06 17:46:00
calculator,calculator,ground,lost,2026-01-30 13:42:00
mobile,phone,block 2,unknown,2025-01-07 14:47:00
black calculator,calculator,,unknown,2025-03-06 22:02:00
audionic airbuds black,earbuds,,lost,2025-04-16 18:50:00
mobile infinix 12 black,phone,ab2,lost,2025-01-23 19:24:00
white umbrella,umbrella,library,lost,2025-01-03 00:32:00
bag vivo,bag,library,lost,2025-02-10 15:43:00
notebook,notebook,,lost,2025-11-28 09:19:00
cnic,id_card,ab2,lost,2025-06-17 15:10:00
atm,id_card,,lost,2025-01-29 13:57:00
samsung black white,phone,,lost,2025-02-06 20:32:00
watch 10,watch,library,lost,2025-01-12 22:50:00
bottle,bottle,block 1,lost,2025-02-11 12:09:00
black watch,watch,,found,2025-04-26 16:50:00
mobile,phone,,lost,2024-12-14 18:55:00
watch silver,watch,,lost,2025-01-03 14:17:00
yellow notebook,notebook,,lost,2024-11-12 14:57:00
wallet,wallet,,lost,2024-11-06 14:00:00
mobile,phone,,lost,2025-01-05 14:32:00
wallet,wallet,,found,2025-07-14 14:02:00
shopper white,bag,,lost,2025-01-04 19:19:00
id,id_card,,lost,2025-01-24 18:06:00
mobile vivo red,phone,,lost,2025-04-23 22:11:00
charger,charger,library,lost,2026-02-17 16:58:00
card,id_card,,lost,2025-02-11 12:05:00
black charger,charger,library,lost,2025-08-30 10:33:00
hp,laptop,library,lost,2025-09-12 21:20:00
glasses,glasses,ab1,found,2024-12-06 11:05:00
gray calculator,calculator,block 2,lost,2025-02-28 17:00:00
notebook,notebook,ab2,lost,2024-11-07 10:27:00
earbuds,earbuds,library,found,2025-04-10 19:58:00
bottle,bottle,ab2,found,2025-01-02 12:33:00
black bag,bag,ab2,lost,2024-12-05 13:40:00
airbuds,earbuds,library,found,2026-04-09 14:54:00
mobile vivo,phone,library,lost,2025-01-02 12:50:00
calculator,calculator,block 3,lost,2024-11-29 14:18:00
charger,charger,,lost,2024-12-30 16:07:00
wallet,wallet,ground,found,2025-12-15 14:09:00
lenovo phone,phone,,lost,2024-11-12 11:51:00
black umbrella,umbrella,,unknown,2024-12-09 16:54:00
vivo,phone,,lost,2025-05-12 20:03:00
dell,laptop,block 5,lost,2025-02-06 17:34:00
dell,laptop,block 5,lost,
glasses,glasses,ab2,lost,2025-11-13 19:48:00
charger,charger,,lost,2025-01-03 17:58:00
card,id_card,,lost,2024-11-18 14:33:00
charger,charger,library,lost,2025-03-27 19:30:00
id,id_card,,lost,2025-01-30 12:02:00
wallet black,wallet,,lost,2024-12-13 15:54:00
eyeglasses,glasses,,lost,2024-11-28 15:00:00
umbrella,umbrella,,found,2025-05-14 23:06:00
glasses,glasses,,lost,2025-01-22 13:22:00
wallet,wallet,,lost,2025-02-28 18:08:00
glasses,glasses,library,found,2026-02-03 19:11:00
charger,charger,,lost,2025-04-10 12:31:00
bag,bag,library,lost,2024-11-25 19:28:00
bottle,bottle,,lost,2024-11-14 18:47:00
cnic,id_card,,lost,2024-11-21 17:01:00
bag 11 12,bag,library,lost,2025-03-17 13:56:00
dell,laptop,ab3,lost,2024-11-18 17:38:00
lenovo,laptop,,lost,2024-11-08 09:01:00
black watch,watch,,lost,2025-10-24 13:37:00
glasses,glasses,ab2,found,2024-11-20 12:40:00
keys silver 32gb,keys,,lost,2024-12-13 12:09:00
card,id_card,,lost,2024-11-28 14:24:00
keys,keys,parking,lost,2024-11-13 12:20:00
phone model,phone,ground,lost,2024-11-07 12:48:00
glasses,glasses,,lost,2024-11-25 14:10:00
keys,keys,parking,lost,2024-11-13 23:11:00
phone,phone,ab3,found,2024-12-09 15:10:00
bag,bag,,lost,2025-02-06 16:08:00
airpods white pro black,earbuds,library,lost,2024-11-29 09:18:00
glasses black,glasses,,found,2025-02-13 13:12:00
black charger,charger,ab2,lost,2024-12-06 15:45:00
mobile vivo,phone,,lost,2024-11-12 17:41:00
oppo,phone,,found,2024-12-11 17:10:00
usb gb,usb,ab2,lost,2024-11-19 14:44:00
blue id,id_card,ab2,lost,2024-11-08 15:13:00
keys,keys,ab1,found,2024-12-13 13:04:00
id,id_card,,lost,2024-11-18 09:21:00
atm,id_card,,lost,2025-01-20 17:08:00
wallet,wallet,,lost,2024-11-27 20:52:00
card,id_card,,lost,2024-11-26 16:58:00
silver notebook,notebook,,lost,2024-12-12 17:02:00
airpods,earbuds,,unknown,2024-11-06 11:56:00
lenovo bag,bag,library,lost,2024-12-11 18:09:00
bottle,bottle,library,unknown,2024-11-13 14:29:00
hp,laptop,,lost,2024-12-13 14:16:00
charger,charger,block 1,lost,2024-11-19 01:29:00
atm,id_card,,lost,2025-05-22 11:37:00
glasses,glasses,ab3,unknown,2024-11-11 19:14:00
watch,watch,ground,found,2024-12-04 11:15:00
brown bottle,bottle,,lost,2024-11-13 12:01:00
watch,watch,library,lost,2024-12-04 15:52:00
hp bag,bag,library,lost,2024-12-11 10:49:00
wallet brown,wallet,,lost,2025-02-17 11:04:00
mobile,phone,,lost,2025-03-01 16:02:00
id,id_card,library,lost,2024-11-30 18:42:00
card,id_card,,lost,2024-11-13 21:53:00
umbrella,umbrella,block 3,lost,2024-11-29 10:30:00
white usb,usb,,lost,2024-11-08 05:46:00
card,id_card,library,found,2025-01-01 21:25:00
beg blue,bag,,lost,2024-11-25 13:10:00
phone vivo golden,phone,block 2,lost,2024-11-14 13:24:00
watch,watch,block 2,lost,2025-01-28 19:43:00
umbrella,umbrella,,lost,2024-11-26 17:32:00
notebook,notebook,block 2,lost,2024-11-05 23:38:00
earbuds,earbuds,ab3,found,2024-12-03 16:10:00
glass,glasses,ground,lost,2024-11-15 14:13:00
watch green silver,watch,ground,lost,2025-05-14 09:40:00
charger,charger,,lost,2024-11-09 11:28:00
bottle,bottle,library,unknown,2024-12-11 10:50:00
white bottle,bottle,ab2,lost,2024-11-16 11:16:00
calculator,calculator,,lost,2025-08-29 10:42:00
lenovo 12,laptop,,lost,2024-12-10 12:04:00
wallet,wallet,library,lost,2024-11-04 12:18:00
dell,laptop,library,lost,2024-12-02 16:04:00
id,id_card,ground,lost,2024-09-12 10:22:00
umbrella,umbrella,library,lost,2025-01-22 09:10:00
card,id_card,,lost,2024-10-17 09:00:00
key red,keys,,lost,2024-11-25 15:09:00
usb silver,usb,block 3,lost,2024-11-22 17:03:00
watch blue,watch,washroom,unknown,2024-11-08 14:23:00
charger,charger,ab2,lost,2024-11-25 13:40:00
card,id_card,,lost,2024-11-19 14:11:00
atm,id_card,,lost,2025-01-29 14:02:00
earbuds,earbuds,ab3,lost,2024-12-03 17:58:00
airpods,earbuds,ab1,found,2024-10-10 21:35:00
wallet,wallet,,lost,2025-02-13 21:00:00
iphone,phone,block 3,found,
calculator,calculator,,lost,2024-11-26 13:28:00
watch 12,watch,ab3,lost,2025-10-23 09:44:00
watch,watch,ground,found,2024-09-05 16:54:00
dell,laptop,library,lost,2024-12-11 12:33:00
usb,usb,,found,2024-11-13 18:37:00
white charger,charger,hall,lost,2024-10-28 13:52:00
phone samsung green,phone,,lost,2024-09-03 16:46:00
phone,phone,,found,2024-09-14 21:13:00
infinix,phone,block 3,lost,2024-10-31 17:19:00
wallet green,wallet,ab3,lost,2024-11-04 22:38:00
brown bottle,bottle,,lost,2024-09-13 11:12:00
wallet,wallet,block 1,lost,2024-10-17 17:18:00
pink keys,keys,ab2,lost,2024-10-22 22:29:00
black umbrella,umbrella,,lost,2024-09-07 20:57:00
airpods,earbuds,,lost,2024-11-04 15:13:00
blue charger,charger,,lost,2024-10-24 13:37:00
usb,usb,library,found,2024-09-11 23:51:00
green notebook,notebook,library,lost,2024-09-12 16:58:00
airpods ronin white,earbuds,block 3,lost,2024-11-25 15:57:00
card,id_card,,lost,2024-09-05 15:00:00
airpods black,earbuds,,lost,2025-04-28 13:17:00
bottle,bottle,library,lost,2024-11-02 16:29:00
lenovo 10,laptop,block 1,found,2024-10-31 17:05:00
watch,watch,ground,found,2025-09-29 18:36:00
blue notebook,notebook,,unknown,2024-11-02 23:56:00
calculator,calculator,,lost,2024-09-05 14:03:00
id,id_card,,lost,2024-10-16 16:51:00
white iphone 11,phone,,lost,2025-02-28 17:16:00
pink bottle,bottle,,found,2024-09-13 14:17:00
id,id_card,,unknown,2024-09-05 16:38:00
airpods,earbuds,library,lost,2024-10-11 22:17:00
glasses black,glasses,block 1,lost,2024-10-29 16:55:00
oppo earbuds white,earbuds,,lost,2024-10-14 09:03:00
iphone,phone,,lost,2024-10-30 20:09:00
id,id_card,,lost,2024-10-25 12:09:00
notebook,notebook,library,lost,2024-10-19 11:59:00
bottle,bottle,ab2,lost,2024-10-22 09:06:00
calculator,calculator,library,lost,2024-09-11 19:11:00
id,id_card,,lost,2024-11-06 10:30:00
black wallet,wallet,,found,2024-12-11 15:08:00
bottle,bottle,ground,lost,2024-12-09 14:14:00
watch,watch,library,lost,2024-12-07 01:53:00
calculator,calculator,,lost,2026-01-22 00:21:00
usb black gb,usb,block 2,lost,2024-11-04 17:47:00
lenovo,laptop,,found,2024-11-01 18:43:00
mobile,phone,,found,2024-10-28 17:09:00
airbuds black,earbuds,ab2,found,2024-10-28 14:18:00
notebook,notebook,library,lost,2024-09-12 23:22:00
atm,id_card,,lost,2024-10-12 00:25:00
phone oppo,phone,,lost,2024-09-06 22:38:00
id,id_card,,lost,2025-02-07 15:40:00
headphone ronin,earbuds,,found,2024-11-04 21:55:00
charger,charger,ab2,found,2024-09-16 13:21:00
charger,charger,,lost,2024-10-21 21:45:00
id,id_card,,lost,2024-11-26 09:03:00
bag,bag,library,lost,2024-09-19 14:09:00
black watch,watch,,lost,2024-10-23 12:13:00
charger,charger,,lost,2024-10-16 17:05:00
calculator,calculator,,unknown,2024-10-17 16:58:00
notebook,notebook,library,lost,
airpods apple 13,earbuds,ab2,lost,2024-09-13 14:33:00
white glasses,glasses,,found,2024-10-29 22:01:00
white audionic,earbuds,block 2,lost,2024-11-04 13:32:00
wallet blue,wallet,,lost,2024-11-29 10:54:00
glasses,glasses,library,lost,2024-09-10 18:14:00
phone,phone,,found,2024-10-18 11:53:00
phone,phone,ab2,lost,2024-11-13 21:39:00
ronin earbuds black,earbuds,library,lost,2024-10-12 13:50:00
vivo,phone,ab3,lost,2025-10-11 11:39:00
id,id_card,ab1,lost,2024-10-17 13:06:00
phone,phone,,lost,2024-09-05 16:21:00
black calculator,calculator,ab2,lost,2024-09-11 17:57:00
orange umbrella,umbrella,,lost,2024-10-29 18:31:00
bag,bag,library,lost,2024-10-24 23:17:00
blue charger,charger,library,lost,2024-09-12 21:09:00
airpods,earbuds,library,unknown,2024-09-13 17:47:00
notebook,notebook,library,lost,2025-10-01 02:31:00
earbuds,earbuds,,lost,2024-10-17 14:32:00
id,id_card,,lost,2024-11-04 17:02:00
mobile infinix,phone,block 2,unknown,2025-01-29 19:06:00
calculator,calculator,,unknown,
id,id_card,,lost,2024-10-11 20:53:00
id,id_card,,lost,2024-10-19 10:22:00
phone,phone,,lost,2024-09-02 17:31:00
lenovo,laptop,,lost,2024-10-30 18:30:00
id,id_card,,lost,2024-09-06 18:20:00
umbrella,umbrella,ab1,found,2024-12-03 13:05:00
usb,usb,,lost,2024-09-03 15:18:00
id,id_card,,lost,2024-11-21 10:40:00
samsung,phone,library,lost,2024-09-11 10:35:00
keys,keys,block 3,lost,2024-09-04 17:52:00
glasses,glasses,ab2,found,2024-11-17 21:57:00
id,id_card,library,lost,2024-09-18 09:08:00
watch,watch,ab3,lost,2024-12-13 15:30:00
card,id_card,,unknown,
umbrella,umbrella,,unknown,
blue bottle,bottle,,lost,2024-10-30 13:31:00
id,id_card,,lost,2025-02-18 15:03:00
bottle,bottle,ab2,lost,2024-11-29 13:10:00
wallet dark red,wallet,,lost,2024-12-12 16:26:00
white earbuds,earbuds,ab3,found,2024-11-04 17:10:00
wallet dark brown,wallet,,lost,2024-11-14 22:14:00
black usb,usb,ab1,lost,2025-01-31 13:17:00
keys,keys,,lost,2024-12-05 16:55:00
wallet,wallet,,lost,2024-12-15 13:55:00
mobile,phone,library,found,
black wallet green,wallet,,lost,2025-02-27 20:30:00
id,id_card,,lost,2025-02-13 11:38:00
silver calculator,calculator,,lost,2025-04-17 17:06:00
golden bottle,bottle,,lost,2024-11-29 16:12:00
black bottle,bottle,ab3,found,2024-12-19 23:48:00
glasses white,glasses,,found,2025-04-09 17:50:00
glasses,glasses,library,lost,2025-04-23 08:42:00
lenovo,laptop,library,lost,2025-08-20 09:08:00
mobile,phone,ground,lost,2024-11-06 23:59:00
black umbrella,umbrella,library,lost,2025-02-14 15:49:00
lenovo,laptop,,unknown,2026-04-28 17:48:00
bag,bag,,lost,2026-03-12 20:37:00
id,id_card,,lost,2025-07-11 12:47:00
wallet,wallet,library,lost,2024-12-19 13:35:00
black key,keys,library,lost,2025-02-10 17:43:00
airpods samsung,earbuds,block 2,lost,2024-12-30 14:13:00
vivo,phone,library,lost,2025-07-31 17:34:00
keys,keys,,lost,2024-12-17 15:47:00
black airbuds,earbuds,,lost,2024-10-22 12:57:00
bottle,bottle,,lost,2026-02-14 15:57:00
keys,keys,,found,2025-02-13 14:23:00
lenovo,laptop,ground,lost,2025-04-15 22:22:00
calculator,calculator,,found,
wallet black,wallet,ab2,lost,2025-01-24 14:06:00
bag black,bag,ab2,lost,2025-09-04 15:13:00
mobile ronin,phone,library,lost,2026-04-06 19:02:00
earbuds white,earbuds,,found,2025-02-08 19:00:00
black calculator,calculator,,lost,2025-01-02 14:57:00
atm,id_card,,lost,2025-11-07 16:42:00
watch,watch,,lost,2025-02-13 22:15:00
wallet,wallet,,lost,2025-04-12 14:01:00
atm,id_card,ground,lost,2026-02-09 11:11:00
keys,keys,ground,found,2025-12-14 16:52:00
mobile,phone,block 2,lost,2026-01-30 20:03:00
dell,laptop,library,lost,2024-12-17 18:11:00
atm,id_card,,lost,2025-02-21 15:00:00
umbrella,umbrella,library,lost,2025-02-17 23:21:00
id,id_card,,lost,2025-03-06 23:17:00
bottle,bottle,ab3,lost,2025-04-20 14:15:00
white wallet,wallet,block 2,lost,2025-01-31 12:16:00
calculator,calculator,,lost,2024-09-03 21:02:00
glasses white,glasses,,lost,2024-11-11 09:07:00
mobile,phone,,lost,2025-03-13 11:58:00
white charger,charger,block 3,lost,2025-09-23 13:45:00
airpods black,earbuds,block 1,lost,2025-11-12 13:34:00
white audionic earbuds,earbuds,,lost,2025-06-02 12:00:00
key,keys,,found,2025-08-15 14:14:00
airpods pro black,earbuds,,lost,2026-03-09 21:03:00
audionic airbuds bag 10,bag,library,lost,2024-12-30 18:56:00
golden watch gold,watch,,lost,2026-02-25 14:54:00
glasses brown,glasses,,found,2026-02-19 02:40:00
wallet brown,wallet,,lost,2025-12-15 15:34:00
watch 14,watch,,lost,2025-07-15 12:04:00
watch,watch,,found,2025-12-01 14:50:00
dell,laptop,library,lost,2025-03-06 20:30:00
phone infinix,phone,ground,lost,2025-02-04 15:59:00
phone infinix 10,phone,ab5,lost,2025-11-12 18:12:00
bag,bag,library,lost,2025-05-20 10:32:00
wallet,wallet,,lost,2026-04-28 13:12:00
bag black,bag,library,lost,2025-09-26 09:52:00
blue charger,charger,ab1,lost,2025-09-10 10:56:00
bag,bag,library,lost,2025-05-24 17:03:00
card,id_card,,lost,2026-02-17 09:33:00
watch,watch,,lost,2025-04-21 16:26:00
black earbuds,earbuds,library,found,2025-08-22 12:36:00
umbrella,umbrella,,lost,
calculator,calculator,,found,2025-09-02 15:04:00
black notebook,notebook,ground,lost,2026-02-18 15:48:00
airpods black,earbuds,,lost,2025-02-11 10:52:00
notebook,notebook,,lost,2025-03-05 12:50:00
black wallet,wallet,,lost,2025-09-26 15:12:00
watch,watch,library,lost,2025-04-11 20:53:00
mobile,phone,,lost,2025-09-03 15:51:00
umbrella,umbrella,ground,found,2025-03-11 11:34:00
earbud audionic,earbuds,,lost,2025-09-02 14:27:00
watch black,watch,,unknown,2025-12-17 22:37:00
id,id_card,washroom,lost,2026-02-20 13:16:00
red bottle,bottle,library,lost,2025-11-04 17:47:00
id,id_card,,found,2024-10-14 15:17:00
gold calculator,calculator,library,lost,2025-09-08 14:19:00
red charger,charger,ab2,lost,2025-11-26 15:41:00
id,id_card,ab2,lost,2025-03-24 11:08:00
bag black,bag,library,found,2025-02-11 15:51:00
black airbuds,earbuds,,lost,2025-09-01 11:46:00
calculator,calculator,,lost,2025-07-20 16:52:00
id,id_card,,lost,2025-08-19 10:19:00
dark charger,charger,library,lost,2025-02-21 10:37:00
notebook,notebook,ab3,lost,2026-03-06 10:32:00
wallet,wallet,,lost,2025-08-22 12:00:00
hp 12,laptop,ab3,lost,2025-08-27 10:47:00
black wallet,wallet,library,lost,2025-04-11 17:18:00
id,id_card,block 2,lost,2025-05-22 21:03:00
phone,phone,ab3,lost,2025-03-12 11:50:00
brown wallet,wallet,,lost,2025-08-13 18:05:00
mobile model black,phone,ab2,lost,2025-09-16 14:23:00
umbrella,umbrella,,found,2025-05-09 11:59:00
hp 10,laptop,block 5,found,2026-04-27 20:02:00
black umbrella,umbrella,ab2,lost,2025-05-08 15:59:00
notebook,notebook,,found,2025-03-01 10:01:00
gray bag,bag,ab2,lost,2025-08-20 14:13:00
drive black,usb,library,lost,2025-08-05 18:40:00
id 11,id_card,,lost,2025-10-10 13:37:00
blue bottle,bottle,block 5,lost,2026-04-08 12:29:00
keys brown,keys,,lost,2025-12-18 11:49:00
mobile,phone,library,lost,2025-08-14 09:35:00
black calculator,calculator,,lost,2025-03-01 15:51:00
id,id_card,,lost,2025-07-21 14:01:00
glasses black,glasses,,lost,2025-10-07 01:25:00
bag black,bag,,lost,2026-04-21 12:25:00
bottle,bottle,,lost,2025-10-31 14:59:00
