clean_text,category,location,status,date
glasses,glasses,parking,found,19/08/2025 10:32
usb 64gb,usb,ab3,lost,17/04/2025 13:40
earbuds 10,earbuds,mosque,lost,30/01/2026 11:58
key,keys,ab5,found,10/02/2026 9:31
brown watch,watch,love garden,found,24/04/2025 17:45
wallet beige,wallet,ab3,lost,11/07/2025 3:01
calculator,calculator,block 3,lost,27/11/2025 10:25
phone oppo,phone,ab4,lost,22/05/2025 14:42
glass,glasses,ab2,lost,10/03/2026 10:24
white earbuds,earbuds,parking,lost,20/05/2025 10:27
atm,id_card,library,lost,30/09/2025 20:05
watch,watch,washroom,found,03/02/2026 13:58
black notebook,notebook,ab2,lost,20/03/2025 21:10
usb,usb,block 2,lost,26/05/2025 19:12
umbrella,umbrella,mosque,lost,03/02/2026 18:37
mobile 11,phone,block 3,lost,12/03/2025 15:53
card,id_card,parking,found,
glasses,glasses,ab4,lost,19/05/2025 16:02
watch,watch,washroom,lost,28/04/2025 23:24
wallet,wallet,ab2,lost,19/08/2025 22:11
mobile,phone,ab2,found,22/05/2025 18:49
airpods pro gray 11 12,earbuds,library,lost,10/03/2026 11:18
earbuds black ronin,earbuds,ab3,lost,18/09/2025 10:20
dell 11,laptop,block 1,lost,08/03/2025 19:11
black bag,bag,parking,lost,07/04/2026 17:46
airpods,earbuds,library,found,17/04/2025 20:21
card,id_card,parking,lost,11/12/2025 14:18
glasses brown,glasses,ground,lost,08/07/2025 15:38
calculator,calculator,library,lost,13/08/2025 15:05
beg blue,bag,parking,lost,23/04/2026 10:42
hp,laptop,library,lost,27/03/2025 8:58
watch silver,watch,washroom,lost,05/12/2025 8:21
bottle,bottle,hostel,lost,28/11/2025 20:30
phone iphone 15 black,phone,ab2,lost,18/09/2025 14:36
id,id_card,ab2,lost,27/02/2025 11:44
hp,laptop,ground,lost,22/05/2025 10:36
black earbuds,earbuds,canteen,found,23/04/2025 18:44
black airbuds airpods,earbuds,block 1,lost,31/10/2025 19:34
atm,id_card,love garden,lost,10/12/2025 13:55
keys,keys,ab2,found,17/09/2025 23:33
bag black,bag,library,lost,24/02/2026 19:25
hp,laptop,library,lost,20/01/2026 22:11
earbuds white 10,earbuds,cc,lost,21/11/2025 12:18
mobile oppo,phone,library,lost,25/09/2025 15:46
umbrella,umbrella,library,lost,24/02/2025 22:54
earbuds white,earbuds,ab4,found,09/04/2025 17:55
calculator,calculator,library,lost,19/08/2025 14:01
hp 11,laptop,ab5,lost,17/11/2025 15:21
mobile,phone,ground,lost,27/02/2025 14:56
iphone 11,phone,library,lost,19/03/2025 14:04
mobile,phone,library,lost,09/05/2025 18:04
wallet,wallet,ab2,lost,23/02/2025 20:27
hp probook,laptop,library,lost,06/03/2025 21:15
charger,charger,library,lost,20/03/2025 12:40
card,id_card,canteen,lost,08/04/2025 8:52
glasses white,glasses,block 2,lost,15/08/2025 1:10
wallet light purple,wallet,ab2,lost,10/03/2026 20:32
bottle,bottle,library,lost,11/03/2025 11:22
mobile,phone,cc,lost,28/02/2025 10:27
id,id_card,ground,lost,15/11/2025 13:42
card,id_card,block 2,lost,17/09/2025 18:10
hp,laptop,library,lost,18/04/2025 0:28
mobile realme,phone,library,lost,20/08/2025 18:39
mobile,phone,library,lost,18/04/2025 19:18
airbuds ronin,earbuds,parking,lost,18/09/2025 16:32
white umbrella,umbrella,library,lost,26/05/2025 12:23
dell,laptop,block 5,lost,05/03/2025 14:53
dell,laptop,library,lost,15/12/2025 20:57
white notebook,notebook,ab2,lost,04/06/2025 20:21
phone infinix 13,phone,ground,lost,04/02/2025 16:33
charger,charger,love garden,lost,09/09/2025 15:15
black calculator,calculator,block 2,lost,21/03/2025 21:50
watch,watch,parking,found,13/08/2025 16:11
bag,bag,library,found,06/02/2026 17:54
phone vivo blue,phone,library,found,09/10/2025 16:19
white bag,bag,library,lost,23/09/2025 6:08
airpods,earbuds,ab1,lost,28/02/2025 22:29
watch,watch,ab5,found,02/10/2025 17:13
key,keys,ab4,lost,21/08/2025 13:25
umbrella,umbrella,parking,found,20/12/2024 15:48
black watch,watch,block 2,lost,18/04/2025 14:52
black bottle,bottle,library,lost,20/04/2026 23:18
wallet dark brown,wallet,parking,lost,26/03/2025 20:51
bottle,bottle,library,lost,14/10/2025 19:43
hp,laptop,library,lost,10/04/2025 17:43
usb,usb,ground,found,
airpods white,earbuds,library,lost,04/10/2025 16:13
umbrella,umbrella,parking,lost,03/03/2025 22:34
shopper,bag,ab3,lost,20/03/2025 12:39
bottle,bottle,parking,lost,28/04/2026 21:50
pink wallet,wallet,cc,lost,05/11/2025 16:24
phone,phone,mosque,lost,19/08/2025 14:34
watch,watch,block 1,found,30/01/2025 1:47
earphone ronin 12,earbuds,library,lost,28/12/2024 17:23
wallet,wallet,library,found,08/01/2025 16:24
dell,laptop,library,lost,06/01/2025 20:58
atm,id_card,parking,lost,29/09/2025 1:34
mobile,phone,library,found,14/02/2025 13:00
bottle,bottle,ab2,found,
black wallet,wallet,library,lost,02/03/2026 14:44
bottle,bottle,library,found,13/11/2025 15:16
keychain,keys,library,lost,05/02/2025 17:42
wallet 12,wallet,ab1,lost,13/02/2025 11:05
mobile 15,phone,library,lost,11/10/2025 16:30
wallet,wallet,mosque,lost,
dell,laptop,ab2,lost,24/02/2026 16:38
grey bag,bag,library,lost,30/09/2025 14:17
pink wallet,wallet,library,lost,31/10/2025 21:15
watch plus green,watch,parking,lost,17/02/2025 15:14
id,id_card,garden,lost,30/01/2025 17:43
drive,usb,ab5,lost,23/01/2025 11:08
hp,laptop,library,lost,18/04/2025 11:20
backpack,bag,parking,lost,20/04/2026 11:02
wallet,wallet,ab4,lost,30/01/2025 10:14
earphone ronin,earbuds,ab1,found,12/01/2025 22:51
airpods pro,earbuds,canteen,lost,06/01/2025 14:53
mini notebook,notebook,block 3,lost,07/11/2025 19:02
card,id_card,garden,lost,28/02/2025 19:04
mobile,phone,ab1,found,06/05/2025 8:48
id,id_card,ab2,lost,26/11/2025 10:59
id,id_card,ab5,lost,21/01/2025 10:45
samsung 12,phone,canteen,lost,17/03/2025 19:51
bag black red,bag,ab1,lost,08/05/2025 9:06
umbrella,umbrella,ab5,lost,13/03/2025 20:04
silver bag,bag,ab2,found,27/04/2026 12:54
calculator,calculator,library,lost,14/12/2024 0:14
apple watch golden,watch,cc,lost,17/02/2025 19:02
atm,id_card,parking,lost,22/12/2024 15:06
wallet black,wallet,ab2,lost,21/08/2025 12:49
wallet,wallet,ground,found,23/02/2025 2:29
cnic,id_card,parking,lost,02/03/2025 15:51
wallet black 12,wallet,ab3,lost,22/01/2025 12:38
keychain,keys,parking,lost,07/10/2025 15:50
charger,charger,garden,lost,08/10/2025 15:50
audionic earbuds black,earbuds,ab2,found,30/09/2025 17:17
airpods black,earbuds,mosque,lost,16/04/2025 13:24
notebook,notebook,library,lost,10/09/2025 22:25
glasses,glasses,parking,lost,25/02/2026 13:25
mobile,phone,block 2,lost,30/09/2025 10:38
dell bag,bag,library,lost,13/12/2024 22:33
red bag lenovo thinkpad,bag,library,lost,27/04/2026 19:50
umbrella,umbrella,parking,found,06/01/2025 15:33
notebook,notebook,ground,found,11/02/2025 22:27
black usb 32gb,usb,library,lost,28/01/2025 15:28
card 12,id_card,library,lost,31/12/2024 10:40
hp,laptop,library,lost,24/02/2025 15:22
bag,bag,library,lost,06/04/2026 22:48
lenovo 14,laptop,library,lost,15/02/2025 17:26
realme,phone,library,lost,30/12/2024 0:30
blue umbrella,umbrella,ground,lost,12/02/2025 16:15
black bottle,bottle,ground,lost,03/01/2025 15:58
glasses,glasses,canteen,found,06/02/2025 17:46
calculator,calculator,ground,lost,30/01/2026 13:42
mobile,phone,block 2,lost,07/01/2025 14:47
black calculator,calculator,ab4,lost,06/03/2025 22:02
audionic airbuds black,earbuds,mosque,lost,16/04/2025 18:50
mobile infinix 12 black,phone,ab2,lost,23/01/2025 19:24
white umbrella,umbrella,library,lost,03/01/2025 0:32
bag vivo,bag,library,lost,10/02/2025 15:43
notebook,notebook,garden,lost,28/11/2025 9:19
cnic,id_card,ab2,lost,17/06/2025 15:10
atm,id_card,library,lost,29/01/2025 13:57
samsung black white,phone,ab1,lost,06/02/2025 20:32
watch 10,watch,library,lost,12/01/2025 22:50
bottle,bottle,block 1,lost,11/02/2025 12:09
black watch,watch,ab4,found,26/04/2025 16:50
mobile,phone,ab1,lost,14/12/2024 18:55
watch silver,watch,library,lost,03/01/2025 14:17
yellow notebook,notebook,ab1,lost,12/11/2024 14:57
wallet,wallet,ab2,lost,06/11/2024 14:00
mobile,phone,parking,lost,05/01/2025 14:32
wallet,wallet,parking,found,14/07/2025 14:02
shopper white,bag,ab4,lost,04/01/2025 19:19
id,id_card,garden,lost,24/01/2025 18:06
mobile vivo red,phone,parking,lost,23/04/2025 22:11
charger,charger,library,lost,17/02/2026 16:58
card,id_card,ab2,lost,11/02/2025 12:05
black charger,charger,library,lost,30/08/2025 10:33
hp,laptop,library,lost,12/09/2025 21:20
glasses,glasses,ab1,found,06/12/2024 11:05
gray calculator,calculator,block 2,lost,28/02/2025 17:00
notebook,notebook,ab2,lost,07/11/2024 10:27
earbuds,earbuds,library,found,10/04/2025 19:58
bottle,bottle,ab2,found,02/01/2025 12:33
black bag,bag,ab2,lost,05/12/2024 13:40
airbuds,earbuds,library,found,09/04/2026 14:54
mobile vivo,phone,library,lost,02/01/2025 12:50
calculator,calculator,block 3,lost,29/11/2024 14:18
charger,charger,ab3,lost,30/12/2024 16:07
wallet,wallet,ground,found,15/12/2025 14:09
lenovo phone,phone,parking,lost,12/11/2024 11:51
black umbrella,umbrella,ab2,lost,09/12/2024 16:54
vivo,phone,ab1,lost,12/05/2025 20:03
dell,laptop,block 5,lost,06/02/2025 17:34
dell,laptop,block 5,lost,07/02/2025 17:34
glasses,glasses,ab2,lost,13/11/2025 19:48
charger,charger,parking,lost,03/01/2025 17:58
card,id_card,hostel,lost,18/11/2024 14:33
charger,charger,library,lost,27/03/2025 19:30
id,id_card,library,lost,30/01/2025 12:02
wallet black,wallet,library,lost,13/12/2024 15:54
eyeglasses,glasses,ab2,lost,28/11/2024 15:00
umbrella,umbrella,parking,found,14/05/2025 23:06
glasses,glasses,ab5,lost,22/01/2025 13:22
wallet,wallet,library,lost,28/02/2025 18:08
glasses,glasses,library,found,03/02/2026 19:11
charger,charger,love garden,lost,10/04/2025 12:31
bag,bag,library,lost,25/11/2024 19:28
bottle,bottle,cc,lost,14/11/2024 18:47
cnic,id_card,parking,lost,21/11/2024 17:01
bag 11 12,bag,library,lost,17/03/2025 13:56
dell,laptop,ab3,lost,18/11/2024 17:38
lenovo,laptop,love garden,lost,08/11/2024 9:01
black watch,watch,ab5,lost,24/10/2025 13:37
glasses,glasses,ab2,found,20/11/2024 12:40
keys silver 32gb,keys,ab5,lost,13/12/2024 12:09
card,id_card,ab1,lost,28/11/2024 14:24
keys,keys,parking,lost,13/11/2024 12:20
phone model,phone,ground,lost,07/11/2024 12:48
glasses,glasses,ab2,lost,25/11/2024 14:10
keys,keys,parking,lost,13/11/2024 23:11
phone,phone,ab3,found,09/12/2024 15:10
bag,bag,ab1,lost,06/02/2025 16:08
airpods white pro black,earbuds,library,lost,29/11/2024 9:18
glasses black,glasses,ab4,found,13/02/2025 13:12
black charger,charger,ab2,lost,06/12/2024 15:45
mobile vivo,phone,ab1,lost,12/11/2024 17:41
oppo,phone,ab4,found,11/12/2024 17:10
usb gb,usb,ab2,lost,19/11/2024 14:44
blue id,id_card,ab2,lost,08/11/2024 15:13
keys,keys,ab1,found,13/12/2024 13:04
id,id_card,garden,lost,18/11/2024 9:21
atm,id_card,canteen,lost,20/01/2025 17:08
wallet,wallet,garden,lost,27/11/2024 20:52
card,id_card,ab3,lost,26/11/2024 16:58
silver notebook,notebook,parking,lost,12/12/2024 17:02
airpods,earbuds,love garden,lost,06/11/2024 11:56
lenovo bag,bag,library,lost,11/12/2024 18:09
bottle,bottle,library,lost,13/11/2024 14:29
hp,laptop,library,lost,13/12/2024 14:16
charger,charger,block 1,lost,19/11/2024 1:29
atm,id_card,library,lost,22/05/2025 11:37
glasses,glasses,ab3,lost,11/11/2024 19:14
watch,watch,ground,found,04/12/2024 11:15
brown bottle,bottle,parking,lost,13/11/2024 12:01
watch,watch,library,lost,04/12/2024 15:52
hp bag,bag,library,lost,11/12/2024 10:49
wallet brown,wallet,ab1,lost,17/02/2025 11:04
mobile,phone,love garden,lost,01/03/2025 16:02
id,id_card,library,lost,30/11/2024 18:42
card,id_card,hostel,lost,13/11/2024 21:53
umbrella,umbrella,block 3,lost,29/11/2024 10:30
white usb,usb,canteen,lost,08/11/2024 5:46
card,id_card,library,found,01/01/2025 21:25
beg blue,bag,parking,lost,25/11/2024 13:10
phone vivo golden,phone,block 2,lost,14/11/2024 13:24
watch,watch,block 2,lost,28/01/2025 19:43
umbrella,umbrella,ab2,lost,26/11/2024 17:32
notebook,notebook,block 2,lost,05/11/2024 23:38
earbuds,earbuds,ab3,found,03/12/2024 16:10
glass,glasses,ground,lost,15/11/2024 14:13
watch green silver,watch,ground,lost,14/05/2025 9:40
charger,charger,library,lost,09/11/2024 11:28
bottle,bottle,library,lost,11/12/2024 10:50
white bottle,bottle,ab2,lost,16/11/2024 11:16
calculator,calculator,ab5,lost,29/08/2025 10:42
lenovo 12,laptop,ab3,lost,10/12/2024 12:04
wallet,wallet,library,lost,04/11/2024 12:18
dell,laptop,library,lost,02/12/2024 16:04
id,id_card,ground,lost,12/09/2024 10:22
umbrella,umbrella,library,lost,22/01/2025 9:10
card,id_card,canteen,lost,17/10/2024 9:00
key red,keys,ab3,lost,25/11/2024 15:09
usb silver,usb,block 3,lost,22/11/2024 17:03
watch blue,watch,washroom,lost,08/11/2024 14:23
charger,charger,ab2,lost,25/11/2024 13:40
card,id_card,ab3,lost,19/11/2024 14:11
atm,id_card,library,lost,29/01/2025 14:02
earbuds,earbuds,ab3,lost,03/12/2024 17:58
airpods,earbuds,ab1,found,10/10/2024 21:35
wallet,wallet,ab3,lost,13/02/2025 21:00
iphone,phone,block 3,found,14/02/2025 21:00
calculator,calculator,ab5,lost,26/11/2024 13:28
watch 12,watch,ab3,lost,23/10/2025 9:44
watch,watch,ground,found,05/09/2024 16:54
dell,laptop,library,lost,11/12/2024 12:33
usb,usb,library,found,13/11/2024 18:37
white charger,charger,hall,lost,28/10/2024 13:52
phone samsung green,phone,ab2,lost,03/09/2024 16:46
phone,phone,garden,found,14/09/2024 21:13
infinix,phone,block 3,lost,31/10/2024 17:19
wallet green,wallet,ab3,lost,04/11/2024 22:38
brown bottle,bottle,love garden,lost,13/09/2024 11:12
wallet,wallet,block 1,lost,17/10/2024 17:18
pink keys,keys,ab2,lost,22/10/2024 22:29
black umbrella,umbrella,parking,lost,07/09/2024 20:57
airpods,earbuds,hostel,lost,04/11/2024 15:13
blue charger,charger,hostel,lost,24/10/2024 13:37
usb,usb,library,found,11/09/2024 23:51
green notebook,notebook,library,lost,12/09/2024 16:58
airpods ronin white,earbuds,block 3,lost,25/11/2024 15:57
card,id_card,ab5,lost,05/09/2024 15:00
airpods black,earbuds,ab2,lost,28/04/2025 13:17
bottle,bottle,library,lost,02/11/2024 16:29
lenovo 10,laptop,block 1,found,31/10/2024 17:05
watch,watch,ground,found,29/09/2025 18:36
blue notebook,notebook,library,lost,02/11/2024 23:56
calculator,calculator,hostel,lost,05/09/2024 14:03
id,id_card,parking,lost,16/10/2024 16:51
white iphone 11,phone,ab1,lost,28/02/2025 17:16
pink bottle,bottle,canteen,found,13/09/2024 14:17
id,id_card,ab1,lost,05/09/2024 16:38
airpods,earbuds,library,lost,11/10/2024 22:17
glasses black,glasses,block 1,lost,29/10/2024 16:55
oppo earbuds white,earbuds,hostel,lost,14/10/2024 9:03
iphone,phone,parking,lost,30/10/2024 20:09
id,id_card,ab2,lost,25/10/2024 12:09
notebook,notebook,library,lost,19/10/2024 11:59
bottle,bottle,ab2,lost,22/10/2024 9:06
calculator,calculator,library,lost,11/09/2024 19:11
id,id_card,garden,lost,06/11/2024 10:30
black wallet,wallet,love garden,found,11/12/2024 15:08
bottle,bottle,ground,lost,09/12/2024 14:14
watch,watch,library,lost,07/12/2024 1:53
calculator,calculator,parking,lost,22/01/2026 0:21
usb black gb,usb,block 2,lost,04/11/2024 17:47
lenovo,laptop,library,found,01/11/2024 18:43
mobile,phone,garden,found,28/10/2024 17:09
airbuds black,earbuds,ab2,found,28/10/2024 14:18
notebook,notebook,library,lost,12/09/2024 23:22
atm,id_card,library,lost,12/10/2024 0:25
phone oppo,phone,ab2,lost,06/09/2024 22:38
id,id_card,garden,lost,07/02/2025 15:40
headphone ronin,earbuds,mosque,found,04/11/2024 21:55
charger,charger,ab2,found,16/09/2024 13:21
charger,charger,ab2,lost,21/10/2024 21:45
id,id_card,garden,lost,26/11/2024 9:03
bag,bag,library,lost,19/09/2024 14:09
black watch,watch,library,lost,23/10/2024 12:13
charger,charger,parking,lost,16/10/2024 17:05
calculator,calculator,ab5,lost,17/10/2024 16:58
notebook,notebook,library,lost,18/10/2024 16:58
airpods apple 13,earbuds,ab2,lost,13/09/2024 14:33
white glasses,glasses,library,found,29/10/2024 22:01
white audionic,earbuds,block 2,lost,04/11/2024 13:32
wallet blue,wallet,canteen,lost,29/11/2024 10:54
glasses,glasses,library,lost,10/09/2024 18:14
phone,phone,ab2,found,18/10/2024 11:53
phone,phone,ab2,lost,13/11/2024 21:39
ronin earbuds black,earbuds,library,lost,12/10/2024 13:50
vivo,phone,ab3,lost,11/10/2025 11:39
id,id_card,ab1,lost,17/10/2024 13:06
phone,phone,parking,lost,05/09/2024 16:21
black calculator,calculator,ab2,lost,11/09/2024 17:57
orange umbrella,umbrella,ab2,lost,29/10/2024 18:31
bag,bag,library,lost,24/10/2024 23:17
blue charger,charger,library,lost,12/09/2024 21:09
airpods,earbuds,library,lost,13/09/2024 17:47
notebook,notebook,library,lost,01/10/2025 2:31
earbuds,earbuds,garden,lost,17/10/2024 14:32
id,id_card,garden,lost,04/11/2024 17:02
mobile infinix,phone,block 2,lost,29/01/2025 19:06
calculator,calculator,ab1,found,30/01/2025 19:06
id,id_card,love garden,lost,11/10/2024 20:53
id,id_card,ab4,lost,19/10/2024 10:22
phone,phone,ab5,lost,02/09/2024 17:31
lenovo,laptop,ab1,lost,30/10/2024 18:30
id,id_card,ab5,lost,06/09/2024 18:20
umbrella,umbrella,ab1,found,03/12/2024 13:05
usb,usb,ab1,lost,03/09/2024 15:18
id,id_card,mosque,lost,21/11/2024 10:40
samsung,phone,library,lost,11/09/2024 10:35
keys,keys,block 3,lost,04/09/2024 17:52
glasses,glasses,ab2,found,17/11/2024 21:57
id,id_card,library,lost,18/09/2024 9:08
watch,watch,ab3,lost,13/12/2024 15:30
card,id_card,garden,found,14/12/2024 15:30
umbrella,umbrella,canteen,found,15/12/2024 15:30
blue bottle,bottle,parking,lost,30/10/2024 13:31
id,id_card,ab5,lost,18/02/2025 15:03
bottle,bottle,ab2,lost,29/11/2024 13:10
wallet dark red,wallet,ab5,lost,12/12/2024 16:26
white earbuds,earbuds,ab3,found,04/11/2024 17:10
wallet dark brown,wallet,ab2,lost,14/11/2024 22:14
black usb,usb,ab1,lost,31/01/2025 13:17
keys,keys,ab2,lost,05/12/2024 16:55
wallet,wallet,parking,lost,15/12/2024 13:55
mobile,phone,library,found,16/12/2024 13:55
black wallet green,wallet,canteen,lost,27/02/2025 20:30
id,id_card,parking,lost,13/02/2025 11:38
silver calculator,calculator,parking,lost,17/04/2025 17:06
golden bottle,bottle,love garden,lost,29/11/2024 16:12
black bottle,bottle,ab3,found,19/12/2024 23:48
glasses white,glasses,library,found,09/04/2025 17:50
glasses,glasses,library,lost,23/04/2025 8:42
lenovo,laptop,library,lost,20/08/2025 9:08
mobile,phone,ground,lost,06/11/2024 23:59
black umbrella,umbrella,library,lost,14/02/2025 15:49
lenovo,laptop,ab3,found,28/04/2026 17:48
bag,bag,canteen,lost,12/03/2026 20:37
id,id_card,cc,lost,11/07/2025 12:47
wallet,wallet,library,lost,19/12/2024 13:35
black key,keys,library,lost,10/02/2025 17:43
airpods samsung,earbuds,block 2,lost,30/12/2024 14:13
vivo,phone,library,lost,31/07/2025 17:34
keys,keys,parking,lost,17/12/2024 15:47
black airbuds,earbuds,cc,lost,22/10/2024 12:57
bottle,bottle,mosque,lost,14/02/2026 15:57
keys,keys,canteen,found,13/02/2025 14:23
lenovo,laptop,ground,lost,15/04/2025 22:22
calculator,calculator,ab1,found,16/04/2025 22:22
wallet black,wallet,ab2,lost,24/01/2025 14:06
bag black,bag,ab2,lost,04/09/2025 15:13
mobile ronin,phone,library,lost,06/04/2026 19:02
earbuds white,earbuds,ab4,found,08/02/2025 19:00
black calculator,calculator,ab1,lost,02/01/2025 14:57
atm,id_card,love garden,lost,07/11/2025 16:42
watch,watch,garden,lost,13/02/2025 22:15
wallet,wallet,ab2,lost,12/04/2025 14:01
atm,id_card,ground,lost,09/02/2026 11:11
keys,keys,ground,found,14/12/2025 16:52
mobile,phone,block 2,lost,30/01/2026 20:03
dell,laptop,library,lost,17/12/2024 18:11
atm,id_card,library,lost,21/02/2025 15:00
umbrella,umbrella,library,lost,17/02/2025 23:21
id,id_card,cc,lost,06/03/2025 23:17
bottle,bottle,ab3,lost,20/04/2025 14:15
white wallet,wallet,block 2,lost,31/01/2025 12:16
calculator,calculator,library,lost,03/09/2024 21:02
glasses white,glasses,ab5,lost,11/11/2024 9:07
mobile,phone,library,lost,13/03/2025 11:58
white charger,charger,block 3,lost,23/09/2025 13:45
airpods black,earbuds,block 1,lost,12/11/2025 13:34
white audionic earbuds,earbuds,parking,lost,02/06/2025 12:00
key,keys,ab3,found,15/08/2025 14:14
airpods pro black,earbuds,canteen,lost,09/03/2026 21:03
audionic airbuds bag 10,bag,library,lost,30/12/2024 18:56
golden watch gold,watch,ab5,lost,25/02/2026 14:54
glasses brown,glasses,ab1,found,19/02/2026 2:40
wallet brown,wallet,ab1,lost,15/12/2025 15:34
watch 14,watch,ab2,lost,15/07/2025 12:04
watch,watch,love garden,found,01/12/2025 14:50
dell,laptop,library,lost,06/03/2025 20:30
phone infinix,phone,ground,lost,04/02/2025 15:59
phone infinix 10,phone,ab5,lost,12/11/2025 18:12
bag,bag,library,lost,20/05/2025 10:32
wallet,wallet,ab1,lost,28/04/2026 13:12
bag black,bag,library,lost,26/09/2025 9:52
blue charger,charger,ab1,lost,10/09/2025 10:56
bag,bag,library,lost,24/05/2025 17:03
card,id_card,ab4,lost,17/02/2026 9:33
watch,watch,ab2,lost,21/04/2025 16:26
black earbuds,earbuds,library,found,22/08/2025 12:36
umbrella,umbrella,hostel,lost,23/08/2025 12:36
calculator,calculator,ab5,found,02/09/2025 15:04
black notebook,notebook,ground,lost,18/02/2026 15:48
airpods black,earbuds,ab3,lost,11/02/2025 10:52
notebook,notebook,parking,lost,05/03/2025 12:50
black wallet,wallet,parking,lost,26/09/2025 15:12
watch,watch,library,lost,11/04/2025 20:53
mobile,phone,canteen,lost,03/09/2025 15:51
umbrella,umbrella,ground,found,11/03/2025 11:34
earbud audionic,earbuds,library,lost,02/09/2025 14:27
watch black,watch,ab4,found,17/12/2025 22:37
id,id_card,washroom,lost,20/02/2026 13:16
red bottle,bottle,library,lost,04/11/2025 17:47
id,id_card,canteen,found,14/10/2024 15:17
gold calculator,calculator,library,lost,08/09/2025 14:19
red charger,charger,ab2,lost,26/11/2025 15:41
id,id_card,ab2,lost,24/03/2025 11:08
bag black,bag,library,found,11/02/2025 15:51
black airbuds,earbuds,ab2,lost,01/09/2025 11:46
calculator,calculator,ab1,lost,20/07/2025 16:52
id,id_card,parking,lost,19/08/2025 10:19
dark charger,charger,library,lost,21/02/2025 10:37
notebook,notebook,ab3,lost,06/03/2026 10:32
wallet,wallet,library,lost,22/08/2025 12:00
hp 12,laptop,ab3,lost,27/08/2025 10:47
black wallet,wallet,library,lost,11/04/2025 17:18
id,id_card,block 2,lost,22/05/2025 21:03
phone,phone,ab3,lost,12/03/2025 11:50
brown wallet,wallet,ab4,lost,13/08/2025 18:05
mobile model black,phone,ab2,lost,16/09/2025 14:23
umbrella,umbrella,parking,found,09/05/2025 11:59
hp 10,laptop,block 5,found,27/04/2026 20:02
black umbrella,umbrella,ab2,lost,08/05/2025 15:59
notebook,notebook,cc,found,01/03/2025 10:01
gray bag,bag,ab2,lost,20/08/2025 14:13
drive black,usb,library,lost,05/08/2025 18:40
id 11,id_card,ab2,lost,10/10/2025 13:37
blue bottle,bottle,block 5,lost,08/04/2026 12:29
keys brown,keys,love garden,lost,18/12/2025 11:49
mobile,phone,library,lost,14/08/2025 9:35
black calculator,calculator,library,lost,01/03/2025 15:51
id,id_card,library,lost,21/07/2025 14:01
glasses black,glasses,parking,lost,07/10/2025 1:25
bag black,bag,library,lost,21/04/2026 12:25
bottle,bottle,ab3,lost,31/10/2025 14:59
notebook,notebook,garden,found,03/11/2025 11:11
hp,laptop,library,lost,09/09/2025 20:33
airpods white,earbuds,library,lost,12/08/2025 0:26
bag,bag,library,found,12/08/2025 10:01
card,id_card,canteen,lost,04/02/2026 21:30
umbrella,umbrella,library,lost,20/06/2025 12:01
lenovo,laptop,ab1,found,16/05/2025 9:10
atm 12,id_card,parking,lost,04/10/2025 9:32
watch,watch,ab5,found,03/03/2026 23:08
phone airpods,phone,library,lost,19/02/2026 19:31
wallet brown,wallet,ab2,lost,07/03/2025 14:38
silver notebook,notebook,canteen,lost,04/06/2025 16:32
keys,keys,parking,lost,23/04/2026 2:11
